,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
57,Information Technology,Computer Networking,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,"Bachelor's or higher degree in Business, Accounting, Computer Science, Information Technology, Software Engineering or CAF / ACCA / ACMA / CIA and Professional security certifications (CISSP, CRISC, or CISA) (preferably)",Experienced Professional,3 Years (3+ years IT Audit experience in Information Systems & Technology audits.),"Nov 24, 2023","Nov 09, 2023",25 - 35 Years,2 Years - 4 Years,,https://www.rozee.pk/magnatec-systems-junior-accountant-lahore-jobs-1431155?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431155&utm_campaign=ROZEE.PK_job_search
58,Construction / Cement / Metals,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Masters,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,Fresh - Fresh,,https://www.rozee.pk/afzal-group-of-electronics-management-trainee-officer-accounts-internal-audit-lahore-jobs-1431003?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431003&utm_campaign=ROZEE.PK_job_search
59,Importers / Distributors/Exporters,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,5 Years (Accountancy),"Nov 23, 2023","Nov 08, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/pakistan-single-window-lead-information-systems-auditor-karachi-jobs-1431721?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431721&utm_campaign=ROZEE.PK_job_search
60,Accounting / Taxation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Dalazak Road, Peshawar, Pakistan",Male,Bachelors,B.com,Experienced Professional,0,"Dec 12, 2023","Nov 12, 2023",22 - 30 Years,Less than 1 Year - 2 Years,,https://www.rozee.pk/home-efficient-ltd-accountant-assistant-accountant-islamabad-jobs-1433255?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433255&utm_campaign=ROZEE.PK_job_search
61,Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Raja Bazar, Rawalpindi, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,Less than 1 Year - 2 Years,,https://www.rozee.pk/biotech-pakistan-accountant-assistant-accountant-karachi-jobs-1431801?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431801&utm_campaign=ROZEE.PK_job_search
62,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Qanchi, Lahore, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 14, 2023","Nov 13, 2023",0,2 Years - 4 Years,,https://www.rozee.pk/sudais-associates-accountant-peshawar-jobs-1432807?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432807&utm_campaign=ROZEE.PK_job_search
63,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Malir Cantonment, Karachi, Pakistan",Female,Bachelors,0,Entry Level,Less than 1 Year,"Dec 12, 2023","Nov 13, 2023",0,Fresh - 2 Years,,https://www.rozee.pk/easy-shopping-accountant-rawalpindi-jobs-1433279?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433279&utm_campaign=ROZEE.PK_job_search
64,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",3 Posts,First Shift (Day),Full Time/Permanent,"Shah Alami Road, Lahore, Pakistan",No Preference,Masters,b.com/m.com/ACCA,Department Head,0,"Dec 14, 2023","Nov 13, 2023",0,Fresh - 2 Years,,https://www.rozee.pk/salt-lamps-accountant-lahore-jobs-1433121?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433121&utm_campaign=ROZEE.PK_job_search
65,Food & Beverages,Import & Export,1 Post,First Shift (Day),Full Time/Permanent,"Industrial Estate Multan, Multan, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",22 - 35 Years,Fresh - 2 Years,,https://www.rozee.pk/decima-llc-accountant-karachi-jobs-1432893?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432893&utm_campaign=ROZEE.PK_job_search
66,Construction / Cement / Metals,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Korangi Industrial Area, Karachi, Pakistan",No Preference,Masters,Accounts,Experienced Professional,0,"Dec 06, 2023","Nov 06, 2023",28 - 38 Years,Fresh - 2 Years,,https://www.rozee.pk/jobspk-accountant-lahore-jobs-1433167?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433167&utm_campaign=ROZEE.PK_job_search
67,Fast Moving Consumer Goods (FMCG),"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Hyderabad, Pakistan",Male,Bachelors,0,Experienced Professional,0,"Dec 08, 2023","Nov 07, 2023",0,3 Years - 5 Years,,https://www.rozee.pk/rifsons-food-pvt-ltd-accountant-multan-jobs-1433129?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433129&utm_campaign=ROZEE.PK_job_search
68,Importers / Distributors/Exporters,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Kasur, Pakistan",Male,Bachelors,B.com/ M.com/ ICMA-Inter,Experienced Professional,5 Years,"Dec 12, 2023","Nov 11, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/bricksncrete-accountant-karachi-jobs-1430543?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430543&utm_campaign=ROZEE.PK_job_search
69,Accounting / Taxation,"Accounts, Finance & Financial Services",10 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,Commerce,Entry Level,0,"Dec 09, 2023","Nov 07, 2023",18 - 40 Years,Fresh - 4 Years,,https://www.rozee.pk/golden-cookies-accountant-hyderabad-jobs-1431321?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431321&utm_campaign=ROZEE.PK_job_search
70,Accounting / Taxation,"Accounts, Finance & Financial Services",3 Posts,Second Shift (Afternoon),Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years (US Accounting or Tax),"Dec 12, 2023","Nov 11, 2023",0,Less than 1 Year - 2 Years,,https://www.rozee.pk/hussain-trading-co-accountant-kasur-jobs-1432787?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432787&utm_campaign=ROZEE.PK_job_search
71,0,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Madina Town, Faisalabad, Pakistan",No Preference,Masters,0,Entry Level,Fresh,"Dec 07, 2023","Nov 06, 2023",0,Fresh - 1 Year,,https://www.rozee.pk/bestax-accountant-lahore-jobs-1431507?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431507&utm_campaign=ROZEE.PK_job_search
72,Distribution and Logistics,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"I.I Chundrigar Road, Karachi, Pakistan",Male,Bachelors,Bachelor degree in commerce,Experienced Professional,5 Years,"Dec 08, 2023","Nov 07, 2023",35 - 50 Years,1 Year - 2 Years,,https://www.rozee.pk/riverline-tax-solutions-llc-accountant-us-tax-karachi-jobs-1432755?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432755&utm_campaign=ROZEE.PK_job_search
73,Publishing/Printing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Nisbat Road, Lahore, Pakistan",No Preference,Bachelors,BS in Accounting,Experienced Professional,2 Years,"Dec 04, 2023","Nov 03, 2023",0,4 Years - 5 Years,,https://www.rozee.pk/balash-international-accountant-faisalabad-jobs-1430655?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430655&utm_campaign=ROZEE.PK_job_search
74,Government,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Female,Masters,0,Experienced Professional,2 Years,"Dec 02, 2023","Nov 03, 2023",0,2 Years - 5 Years,,https://www.rozee.pk/reliable-trading-agency-accountant-karachi-jobs-1431277?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431277&utm_campaign=ROZEE.PK_job_search
75,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Ugoki, Sialkot, Pakistan",No Preference,Masters,"M.Com, MBA Finance or Equivalent",Experienced Professional,0,"Dec 12, 2023","Nov 11, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/ah-prints-accountant-lahore-jobs-1430209?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430209&utm_campaign=ROZEE.PK_job_search
76,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 03, 2023","Nov 02, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/business-hub-accountant-lahore-jobs-1428979?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428979&utm_campaign=ROZEE.PK_job_search
77,Importers / Distributors/Exporters,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Shah Jamal, Lahore, Pakistan",Male,Bachelors,B.Com,Experienced Professional,0,"Dec 05, 2023","Nov 04, 2023",25 - 40 Years,Fresh - 1 Year,,https://www.rozee.pk/medical-devices-pvt-ltd-accountant-sialkot-jobs-1432733?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432733&utm_campaign=ROZEE.PK_job_search
78,Agriculture / Fertilizer / Pesticide,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Multan, Pakistan",Male,Bachelors,BBA Accounting and Finance / MBA Accounting and Finance,Experienced Professional,0,"Dec 08, 2023","Nov 07, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/star-soft-industry-accountant-karachi-jobs-1429497?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429497&utm_campaign=ROZEE.PK_job_search
79,Real Estate/Property,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Multan, Pakistan",Male,Masters,0,Experienced Professional,0,"Dec 03, 2023","Nov 02, 2023",30 - 35 Years,1 Year - 3 Years,,https://www.rozee.pk/tracon-services-pvt-ltd-accountant-lahore-jobs-1430363?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430363&utm_campaign=ROZEE.PK_job_search
80,Information Technology,"Accounts, Finance & Financial Services",3 Posts,First Shift (Day),Full Time/Permanent,"DHA, Karachi, Pakistan",No Preference,Masters,MBA,Experienced Professional,6 Years,"Dec 01, 2023","Oct 30, 2023",0,1 Year - 3 Years,,https://www.rozee.pk/neelum-seeds-auditor-multan-jobs-1431413?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431413&utm_campaign=ROZEE.PK_job_search
81,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Kohinoor, Faisalabad, Pakistan",No Preference,Bachelors,CA (Finalist),Experienced Professional,2 Years,"Nov 15, 2023","Oct 14, 2023",0,Fresh - 2 Years,,https://www.rozee.pk/gulberg-executive-multan-auditor-multan-jobs-1429703?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429703&utm_campaign=ROZEE.PK_job_search
82,Banking/Financial Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Masters,"MBA (Finance & Accounting), ACCA",Experienced Professional,0,"Nov 16, 2023","Oct 16, 2023",25 - 40 Years,2 Years - 4 Years (Dedicated Customer Services Experience),,https://www.rozee.pk/deploy-private-limited-auditor-karachi-jobs-1428553?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428553&utm_campaign=ROZEE.PK_job_search
83,Packaging,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Sundar Industrial Estate, Lahore, Pakistan",Male,Bachelors,ACCA / CA (Part qualify or Fresh with Article ship Completed or ACMA,Experienced Professional,"2 Years (Strong knowledge of internal control frameworks, risk assessment methodologies, and auditing standards, with a deep understanding of Manufacturing industry practices, regulations, and compliance requirements.)","Dec 12, 2023","Nov 11, 2023",0,Fresh - 1 Year (Experience related customer relationship is a plus.),,https://www.rozee.pk/nutrifactor-auditor-faisalabad-jobs-1422899?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1422899&utm_campaign=ROZEE.PK_job_search
84,Business Development,Quality Assurance (QA),10 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",Female,Bachelors,0,Entry Level,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,5 Years - 10 Years,,https://www.rozee.pk/samba-bank-limited-auditor-karachi-jobs-1423067?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423067&utm_campaign=ROZEE.PK_job_search
85,Fast Moving Consumer Goods (FMCG),"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,Finance / Accounting,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",22 - 35 Years,2 Years - 3 Years,,https://www.rozee.pk/bak-packaging-pvt-ltd-internal-auditor-lahore-jobs-1432793?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432793&utm_campaign=ROZEE.PK_job_search
86,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",4 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",Male,Certification,ACCA,Experienced Professional,0,"Nov 29, 2023","Oct 28, 2023",22 - 38 Years,Fresh - 1 Year,,https://www.rozee.pk/affinityvibez-pvt-ltd-quality-auditor-lahore-jobs-1432513?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432513&utm_campaign=ROZEE.PK_job_search
87,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 01, 2023","Oct 30, 2023",0,5 Years - 10 Years,,https://www.rozee.pk/hoest-ar-confectionary-internal-auditor-lahore-jobs-1433297?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433297&utm_campaign=ROZEE.PK_job_search
88,Accounting / Taxation,"Accounts, Finance & Financial Services",6 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Masters,"M.Com Master in Accounting & Finance, B.Com",Experienced Professional,0,"Nov 25, 2023","Oct 24, 2023",0,6 Years - 7 Years,,https://www.rozee.pk/job/detail/1427999?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427999&utm_campaign=ROZEE.PK_job_search
89,Textiles / Garments,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",Male,Bachelors,M.com/MBA,Experienced Professional,2 Years,"Nov 25, 2023","Oct 24, 2023",0,3 Years - 5 Years,,https://www.rozee.pk/work-together-junior-auditor-rawalpindi-jobs-1428499?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428499&utm_campaign=ROZEE.PK_job_search
90,Consultants,Data Entry,1 Post,Work from Home,Full Time/Permanent,"Islamabad, Karachi, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 01, 2023","Oct 31, 2023",22 - 32 Years,Fresh - 1 Year,,https://www.rozee.pk/succours-accountant-limited-external-auditor-lahore-jobs-1426415?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426415&utm_campaign=ROZEE.PK_job_search
91,Hotel Management / Restaurants,"Accounts, Finance & Financial Services",2 Posts,Rotating,Full Time/Permanent,"Islamabad, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 01, 2023","Oct 30, 2023",0,12 Years - 14 Years (Must have 12-14 years of experience in relevant field),,https://www.rozee.pk/zephyr-textiles-limited-internal-auditor-lahore-jobs-1426363?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426363&utm_campaign=ROZEE.PK_job_search
92,Information Technology,Computer Networking,1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,"Bachelor's or higher degree in Business, Accounting, Computer Science, Information Technology, Software Engineering or CAF / ACCA / ACMA / CIA and Professional security certifications (CISSP, CRISC, or CISA) (preferably)",Experienced Professional,3 Years (3+ years IT Audit experience in Information Systems & Technology audits.),"Nov 24, 2023","Nov 09, 2023",25 - 35 Years,12 Years - 14 Years (Must have 12-14 years of experience in relevant field),,https://www.rozee.pk/vision-environmental-solutions-data-auditor-islamabadkarachilahore-jobs-1428955?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428955&utm_campaign=ROZEE.PK_job_search
93,Accounting / Taxation,Client Services & Customer Support,3 Posts,Third Shift (Night),Full Time/Permanent,"Gulberg, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 11, 2023","Nov 10, 2023",0,1 Year - 8 Years (related to color & paint industry),,https://www.rozee.pk/eggspectation-pakistan-internal-auditor-cost-control-islamabad-lahore-jobs-1428385?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428385&utm_campaign=ROZEE.PK_job_search
94,Accounting / Taxation,"Secretarial, Clerical & Front Office",1 Post,First Shift (Day),Full Time/Permanent,"Township, Lahore, Pakistan",No Preference,Masters,0,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",18 - 30 Years,1 Year - 2 Years,,https://www.rozee.pk/pakistan-single-window-lead-information-systems-auditor-karachi-jobs-1431721?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431721&utm_campaign=ROZEE.PK_job_search
95,Accounting / Taxation,"Secretarial, Clerical & Front Office",1 Post,First Shift (Day),Full Time/Permanent,"S.I.T.E Karachi, Karachi, Pakistan",No Preference,Bachelors,0,Experienced Professional,5 Years,"Dec 01, 2023","Nov 13, 2023",0,3 Years - 3 Years,,https://www.rozee.pk/bestax-medical-billing-specialist-lahore-jobs-1432671?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432671&utm_campaign=ROZEE.PK_job_search
